Model,Accuracy,Macro F1,Weighted F1,MAE,RMSE,MAPE,R2,ECE,Brier,Robust-F1,Refusal Acc,Latency,Train Time,Params,Notes
OpenSOC-AI,0.98,,0.972,1.48,10.465,14.8,0.574,,,,,8.79,55.22,12600000,User-provided OpenSOC-AI reference on the same dataset setting.
TrustSOC-Lite,0.9986120749479528,0.9933090623919972,0.9985977468358035,1.3106959065970984,2.85348564449533,3.2499531558807098,0.9851120216169234,0.18070392441703315,0.0683927063081482,0.9933090623919972,0.0,0.00022474708535806564,9.972539028333268,1050525,Local reproducible prototype.
TrustSOC-DERG,0.9989590562109646,0.9954062271666627,0.9989500224470141,0.531573050831713,1.0928074141129276,1.3647926752470787,0.9978164074137346,0.17990133770902503,0.05844271778859443,0.9954062271666627,0.0,0.00024867036780298836,19.080764779999786,673239,Local reproducible prototype.
