Model,Accuracy,Macro F1,Weighted F1,MAE,RMSE,MAPE,R2,ECE,Brier,Robust-F1,Refusal Acc,Latency,Train Time,Params,Notes
OpenSOC-AI,0.98,,0.972,1.48,10.465,14.8,0.574,,,,,8.79,55.22,12600000,User-provided OpenSOC-AI reference on the same dataset setting.
Logistic Regression,0.6426092990978487,0.3604668324710838,0.695904562969607,0.5362024623358255,2.439855366284926,1.3117538603420762,0.9891153990882511,,,,,1.0611936151897335e-05,0.16015201666644618,570,Tabular baseline using DERG-derived numeric features only.
Random Forest,0.6599583622484386,0.37875698805304825,0.7112473712876287,0.5353816512391251,2.439894716382534,1.309191193913318,0.9891150479907491,,,,,7.11401804238183e-05,0.020674848333389187,880,Tabular baseline using DERG-derived numeric features only.
Gradient Boosting,0.8008327550312283,0.38443810816096236,0.7721551345815166,0.7109605669323625,2.5956406983567155,1.7727896390529383,0.9876810555845639,,,,,1.567699515055878e-05,0.30762026166679185,2180,Tabular baseline using DERG-derived numeric features only.
TrustSOC-Lite,0.9986120749479528,0.9933090623919972,0.9985977468358035,1.3107626143164026,2.853504652216914,3.2503779855531336,0.9851118232717934,0.18088396160138528,0.06847926944196929,0.9933090623919972,0.0,0.00010987047188350443,4.927653623333511,1050525,Local reproducible prototype.
TrustSOC-DERG,0.9989590562109646,0.9954062271666627,0.9989500224470141,0.5315684918274358,1.0928201910314144,1.364732295194155,0.9978163563530495,0.17999443711380847,0.05848277861158331,0.9954062271666627,0.0,9.294934073539992e-05,9.441958963333551,672903,Local reproducible prototype.
TrustSOC-Transformer,0.979528105482304,0.9489405296063309,0.9791297292326262,0.4366439657853263,2.206311610352332,1.1641743039559065,0.9910994253644075,0.1490736089522596,0.06638043488736106,0.9489405296063309,0.0,0.0007419640527439345,0.6328613200001807,3339903,PyTorch text-plus-DERG deep model.
RedSage-lite,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,External baseline not rerun locally in this repository.
