Model,ECE,Brier,Refusal Correctness,Overconfidence Rate,Underconfidence Rate,Trust Alignment Score
lite,0.18070392441703315,0.0683927063081482,0.9444444444444444,0.0,0.05065926439972242,0.7262763814010635
trustsoc_derg,0.17990133770902503,0.05844271778859443,1.0,0.0,0.0260235947258848,0.6939535193704813
transformer,0.1490736089522596,0.06638043488736106,0.9876543209876543,0.00034698126301179735,0.061415683553088136,0.7397087266217948
