Model,Accuracy,Macro F1,Weighted F1,MAE,RMSE,MAPE,R2,ECE,Brier,Robust-F1,Refusal Acc,Latency,Train Time,Params,Notes
OpenSOC-AI,0.98,,0.972,1.48,10.465,14.8,0.574,,,,,8.79,55.22,12600000,User-provided OpenSOC-AI reference on the same dataset setting.
Logistic Regression,0.6450381679389313,0.3622602557488202,0.6977524846762093,0.5362024623358255,2.439855366284926,1.3117538603420762,0.9891153990882511,,,,,1.9023802918611427e-05,0.32210769333323697,570,Tabular baseline using DERG-derived numeric features only.
Random Forest,0.6599583622484386,0.37875698805304825,0.7112473712876287,0.5353816512391252,2.439894716382534,1.3091911939133185,0.9891150479907491,,,,,9.139021513204813e-05,0.043079046666631864,880,Tabular baseline using DERG-derived numeric features only.
Gradient Boosting,0.8008327550312283,0.38443810816096236,0.7721551345815166,0.7109605669323625,2.5956406983567155,1.7727896390529383,0.9876810555845639,,,,,2.716086051782456e-05,0.6571206283333595,2180,Tabular baseline using DERG-derived numeric features only.
TrustSOC-Lite,0.9986120749479528,0.9933090623919972,0.9985977468358035,1.3106959065970984,2.85348564449533,3.2499531558807098,0.9851120216169234,0.18070392441703315,0.0683927063081482,0.9933090623919972,0.0,0.00022474708535806564,9.972539028333268,1050525,Local reproducible prototype.
TrustSOC-DERG,0.9989590562109646,0.9954062271666627,0.9989500224470141,0.531573050831713,1.0928074141129276,1.3647926752470787,0.9978164074137346,0.17990133770902503,0.05844271778859443,0.9954062271666627,0.0,0.00024867036780298836,19.080764779999786,673239,Local reproducible prototype.
TrustSOC-Transformer,0.979528105482304,0.9489405296063309,0.9791297292326262,0.4366439657853263,2.206311610352332,1.1641743039559065,0.9910994253644075,0.1490736089522596,0.06638043488736106,0.9489405296063309,0.0,0.0007419640527439345,0.6328613200001807,3339903,PyTorch text-plus-DERG deep model.
RedSage-lite,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,to be filled after running experiments,External baseline not rerun locally in this repository.
