epoch,loss,accuracy,f1,joint_exact_match,risk_mae,validation_score
1,6.739379247029622,0.26,0.1680348692403487,0.19,25.21636905670166,0.1359104607721046
2,6.150265789031982,0.6,0.5614374176548089,0.49,23.569117431640624,0.4032400509800364
3,5.468442471822103,0.63,0.5686318750678937,0.52,20.83943576812744,0.44619520483909375
4,4.785722907384237,0.6,0.5643433402346446,0.53,14.345851593017578,0.5143444861402175
5,4.014004516601562,0.6,0.546524147986149,0.53,7.744328098297119,0.5750139634128735
6,3.7143000761667886,0.57,0.5492519095291064,0.49,4.363323707580566,0.5916423357829262
7,3.32473787466685,0.58,0.5555440860215053,0.5,4.1632819175720215,0.6000304066307314
8,3.2959415435791017,0.58,0.563460752688172,0.5,3.9793306732177736,0.6042449190742738
9,3.213730009396871,0.56,0.5559144563918756,0.49,3.8422488021850585,0.5988518488957121
10,2.974584110577901,0.56,0.5559144563918756,0.49,3.942534294128418,0.5978489939762786
11,2.8552420775095624,0.56,0.5559144563918756,0.5,3.9521717643737793,0.6022526192738249
12,2.698059399922689,0.56,0.5559144563918756,0.49,4.015668601989746,0.5971176508976652
13,2.8106921672821046,0.57,0.5653627322539446,0.49,4.062999496459961,0.5994788247115838
14,2.6389602184295655,0.56,0.558696065587278,0.49,4.076076908111572,0.5973480505950677
