epoch,loss,accuracy,f1,joint_exact_match,risk_mae,validation_score
1,3.7143285581185115,0.7556404026379729,0.7765420070800292,0.7001041305102395,3.026964674886421,0.7677398141047522
2,1.4452804720253372,0.9114890662964249,0.9152470174979878,0.8781673030197849,1.095989647692833,0.9087894951313712
3,0.8275497153061306,0.9423811176674766,0.9460870105403877,0.9278028462339466,0.7524003436357682,0.9438133805310347
4,0.5617659078655896,0.9555709822978132,0.9565142837545993,0.9455050329746616,0.6607886893349528,0.9558236630716279
5,0.4438793736807538,0.9670253384241583,0.9668118776581773,0.957306490801805,0.590426215609094,0.9649272220021745
6,0.3438286713606589,0.9718847622353349,0.9718841086127622,0.9621659146129816,0.5702640787672144,0.9688372533719982
7,0.291281265481008,0.9746615758417216,0.9742179166317092,0.9632072197153766,0.5388913907677049,0.9703197099537553
8,0.262301869319435,0.9770912877473099,0.9769210734874313,0.9663311350225616,0.5128193086983636,0.9727971397193985
